성분명,CAS번호,규제국가,규제구분,단서조항,제한사항,제한농도값_percent,최소제한농도_percent,최대제한농도_percent,예측_Kp_cm_h,Cmax_mg_L,Tmax_h,AUC_mg_h_L,총흡수량_mg,SED_mg_kg_day,적용기준치_mg_kg_day,적용기준치_종류,MoS,log_MoS,MoS_group,대시보드판정,PoD_보강상태,기준치_신뢰도,기준치_출처,기준치_출처_URL,기준치_근거요약,규제우선경고,국소독성_주의,SMILES_InChI_확보필요,PoD_추가조사우선순위,남은과제_메모,독성종말점,독성종말점_분류,독성용량,독성용량_추출값_mg_kg,독성용량_표준화메모,독성용량_MoS사용여부,독성시험종,독성노출경로,독성정보_URL,국문표준명,영문성분명,기준치_우선순위,MoS계산식
Benzyl alcohol,100-51-6,아르헨티나,한도,,완제품 내 최대 허용 농도: 1.0%,"1.0, 1.0",1.0,1.0,0.005919207878969,0.2000033071674665,14.5,5.7754149755092925,3.0942114135676664,0.0257850951130638,200.0,NOAEL_외부레퍼런스,7756.418935940698,3.889661257943253,Very Safe,매우 안정,외부 PoD 적용,중간,"CIR/Safety Assessment, long-term study conservative lower species value",https://journals.sagepub.com/doi/pdf/10.1177/1091581817728996,Long-term studies on benzyl alcohol yielded NOAEL >400 mg/kg bw/day in rats and >200 mg/kg bw/day in mice; conservative 200 used.,국가별 한도/사용조건 확인,해당 없음 또는 추가 확인,필요: 구조 기반 Cramer/alert 검증용,낮음,현재 기준으로 대시보드 사용 가능,LClo,LCLo,1000 ppm/8 시간,,mg/kg 계열 아님 또는 농도/시간 단위 혼재,MoS 기준치로 직접 사용하지 않음,랫드,흡입,http://www.nifds.go.kr/toxinfo/SearchUtil.action?Action=getDetailChemTcd&amphddnToxicCode=T1287623626543,벤질알코올,Benzyl Alcohol,4_CIR,200 / 0.0257851 = 7756
Benzyl alcohol,100-51-6,중국,한도,,"사용제한성분: 용제, 향수 및 향료 용도. 사용제한 방부제: 화장품 중 최대 사용 농도 1.0%",1.0,1.0,1.0,0.005919207878969,0.2000033071674665,14.5,5.7754149755092925,3.0942114135676664,0.0257850951130638,200.0,NOAEL_외부레퍼런스,7756.418935940698,3.889661257943253,Very Safe,매우 안정,외부 PoD 적용,중간,"CIR/Safety Assessment, long-term study conservative lower species value",https://journals.sagepub.com/doi/pdf/10.1177/1091581817728996,Long-term studies on benzyl alcohol yielded NOAEL >400 mg/kg bw/day in rats and >200 mg/kg bw/day in mice; conservative 200 used.,국가별 한도/사용조건 확인,해당 없음 또는 추가 확인,필요: 구조 기반 Cramer/alert 검증용,낮음,현재 기준으로 대시보드 사용 가능,LClo,LCLo,1000 ppm/8 시간,,mg/kg 계열 아님 또는 농도/시간 단위 혼재,MoS 기준치로 직접 사용하지 않음,랫드,흡입,http://www.nifds.go.kr/toxinfo/SearchUtil.action?Action=getDetailChemTcd&amphddnToxicCode=T1287623626543,벤질알코올,Benzyl Alcohol,4_CIR,200 / 0.0257851 = 7756
Benzyl alcohol,100-51-6,한국,한도,,"배합한도: 1.0%. 단, 염모용 제품류에 용제로 사용할 경우 10%까지 허용","1.0, 10.0",1.0,10.0,0.005919207878969,0.2000033071674665,14.5,5.7754149755092925,3.0942114135676664,0.0257850951130638,200.0,NOAEL_외부레퍼런스,7756.418935940698,3.889661257943253,Very Safe,매우 안정,외부 PoD 적용,중간,"CIR/Safety Assessment, long-term study conservative lower species value",https://journals.sagepub.com/doi/pdf/10.1177/1091581817728996,Long-term studies on benzyl alcohol yielded NOAEL >400 mg/kg bw/day in rats and >200 mg/kg bw/day in mice; conservative 200 used.,국가별 한도/사용조건 확인,해당 없음 또는 추가 확인,필요: 구조 기반 Cramer/alert 검증용,낮음,현재 기준으로 대시보드 사용 가능,LClo,LCLo,1000 ppm/8 시간,,mg/kg 계열 아님 또는 농도/시간 단위 혼재,MoS 기준치로 직접 사용하지 않음,랫드,흡입,http://www.nifds.go.kr/toxinfo/SearchUtil.action?Action=getDetailChemTcd&amphddnToxicCode=T1287623626543,벤질알코올,Benzyl Alcohol,4_CIR,200 / 0.0257851 = 7756
Benzyl alcohol,100-51-6,아세안,한도,,"적용 및 사용 범위: 용제, 향료/방향 조성물 및 그 원료. 방부제로 사용하는 경우 부속서 6 제1부 제34호를 참조",,,,0.005919207878969,0.2000033071674665,14.5,5.7754149755092925,3.0942114135676664,0.0257850951130638,200.0,NOAEL_외부레퍼런스,7756.418935940698,3.889661257943253,Very Safe,매우 안정,외부 PoD 적용,중간,"CIR/Safety Assessment, long-term study conservative lower species value",https://journals.sagepub.com/doi/pdf/10.1177/1091581817728996,Long-term studies on benzyl alcohol yielded NOAEL >400 mg/kg bw/day in rats and >200 mg/kg bw/day in mice; conservative 200 used.,국가별 한도/사용조건 확인,해당 없음 또는 추가 확인,필요: 구조 기반 Cramer/alert 검증용,낮음,현재 기준으로 대시보드 사용 가능,LClo,LCLo,1000 ppm/8 시간,,mg/kg 계열 아님 또는 농도/시간 단위 혼재,MoS 기준치로 직접 사용하지 않음,랫드,흡입,http://www.nifds.go.kr/toxinfo/SearchUtil.action?Action=getDetailChemTcd&amphddnToxicCode=T1287623626543,벤질알코올,Benzyl Alcohol,4_CIR,200 / 0.0257851 = 7756
Benzyl alcohol,100-51-6,대만,한도,"※ 본 표에 등재되지 않은 방부제 성분이라도 유럽, 미국, 일본 정부가 사용을 허가하고 사용 제한 기준을 공고한 경우, 해당 기준에 따라 사용할 수 있습니다. 국가별 관리 기준이 서로 다른 경우에는 가장 엄격하고 안전한 제한 기준을 적용합니다. ※ 본 표의 구강 제제에는 비의약 치약, 구강청결제 및 치아 미백류 화장품이 포함됩니다","※ 본 표에 등재되지 않은 방부제 성분이라도 유럽, 미국, 일본 정부가 사용을 허가하고 사용 기준을 공고한 경우, 해당 기준에 따라 사용할 수 있습니다. 국가별 관리 기준이 서로 다른 경우에는 가장 엄격하고 안전한 제한 기준을 적용합니다. ※ 본 표의 구강 제제에는 비의약 치약, 구강청결제 및 치아 미백류 화장품이 포함됩니다. 용도: 방부제. 배합한도: 1.0%",1.0,1.0,1.0,0.005919207878969,0.2000033071674665,14.5,5.7754149755092925,3.0942114135676664,0.0257850951130638,200.0,NOAEL_외부레퍼런스,7756.418935940698,3.889661257943253,Very Safe,매우 안정,외부 PoD 적용,중간,"CIR/Safety Assessment, long-term study conservative lower species value",https://journals.sagepub.com/doi/pdf/10.1177/1091581817728996,Long-term studies on benzyl alcohol yielded NOAEL >400 mg/kg bw/day in rats and >200 mg/kg bw/day in mice; conservative 200 used.,국가별 한도/사용조건 확인,해당 없음 또는 추가 확인,필요: 구조 기반 Cramer/alert 검증용,낮음,현재 기준으로 대시보드 사용 가능,LClo,LCLo,1000 ppm/8 시간,,mg/kg 계열 아님 또는 농도/시간 단위 혼재,MoS 기준치로 직접 사용하지 않음,랫드,흡입,http://www.nifds.go.kr/toxinfo/SearchUtil.action?Action=getDetailChemTcd&amphddnToxicCode=T1287623626543,벤질알코올,Benzyl Alcohol,4_CIR,200 / 0.0257851 = 7756
Betamethasone-17-valerate,2152-44-5,EU,금지,,,,,,0.0012695561149529,0.3545850208137121,13.0,9.112382728384976,4.760873353494544,0.0396739446124545,0.0023,TTC_Cramer III,0.0579725566103144,-1.2367775466661646,Risk,위험,외부 PoD 미확인 → TTC 임시 적용,예비,SCCS TTC/Cramer fallback,https://health.ec.europa.eu/system/files/2023-12/sccs_o_273_final.pdf,외부 PoD 미확인. 구조정보 부재 또는 방향족/페놀/복합구조 → 보수적 Cramer III. TTC를 예비 기준치로 사용.,규제/금지 또는 의약품성·CMR 가능성 우선 검토,해당 없음 또는 추가 확인,필요: 구조 기반 Cramer/alert 검증용,높음: Risk + TTC 임시/보정 기준,PoD 미확인 시 TTC 기반 예비값,,정보 없음,,,용량정보 없음,PoD로 사용 불가 또는 정보 부족,,,,베타메타손발러레이트,Betamethasone Valerate,TTC_fallback,0.0023 / 0.0396739 = 0.05797
Betamethasone-17-valerate,2152-44-5,아세안,금지,,,,,,0.0012695561149529,0.3545850208137121,13.0,9.112382728384976,4.760873353494544,0.0396739446124545,0.0023,TTC_Cramer III,0.0579725566103144,-1.2367775466661646,Risk,위험,외부 PoD 미확인 → TTC 임시 적용,예비,SCCS TTC/Cramer fallback,https://health.ec.europa.eu/system/files/2023-12/sccs_o_273_final.pdf,외부 PoD 미확인. 구조정보 부재 또는 방향족/페놀/복합구조 → 보수적 Cramer III. TTC를 예비 기준치로 사용.,규제/금지 또는 의약품성·CMR 가능성 우선 검토,해당 없음 또는 추가 확인,필요: 구조 기반 Cramer/alert 검증용,높음: Risk + TTC 임시/보정 기준,PoD 미확인 시 TTC 기반 예비값,,정보 없음,,,용량정보 없음,PoD로 사용 불가 또는 정보 부족,,,,베타메타손발러레이트,Betamethasone Valerate,TTC_fallback,0.0023 / 0.0396739 = 0.05797
Betamethasone-17-valerate,2152-44-5,중국,금지,,,,,,0.0012695561149529,0.3545850208137121,13.0,9.112382728384976,4.760873353494544,0.0396739446124545,0.0023,TTC_Cramer III,0.0579725566103144,-1.2367775466661646,Risk,위험,외부 PoD 미확인 → TTC 임시 적용,예비,SCCS TTC/Cramer fallback,https://health.ec.europa.eu/system/files/2023-12/sccs_o_273_final.pdf,외부 PoD 미확인. 구조정보 부재 또는 방향족/페놀/복합구조 → 보수적 Cramer III. TTC를 예비 기준치로 사용.,규제/금지 또는 의약품성·CMR 가능성 우선 검토,해당 없음 또는 추가 확인,필요: 구조 기반 Cramer/alert 검증용,높음: Risk + TTC 임시/보정 기준,PoD 미확인 시 TTC 기반 예비값,,정보 없음,,,용량정보 없음,PoD로 사용 불가 또는 정보 부족,,,,베타메타손발러레이트,Betamethasone Valerate,TTC_fallback,0.0023 / 0.0396739 = 0.05797
Betamethasone-17-valerate,2152-44-5,캐나다,금지,,,,,,0.0012695561149529,0.3545850208137121,13.0,9.112382728384976,4.760873353494544,0.0396739446124545,0.0023,TTC_Cramer III,0.0579725566103144,-1.2367775466661646,Risk,위험,외부 PoD 미확인 → TTC 임시 적용,예비,SCCS TTC/Cramer fallback,https://health.ec.europa.eu/system/files/2023-12/sccs_o_273_final.pdf,외부 PoD 미확인. 구조정보 부재 또는 방향족/페놀/복합구조 → 보수적 Cramer III. TTC를 예비 기준치로 사용.,규제/금지 또는 의약품성·CMR 가능성 우선 검토,해당 없음 또는 추가 확인,필요: 구조 기반 Cramer/alert 검증용,높음: Risk + TTC 임시/보정 기준,PoD 미확인 시 TTC 기반 예비값,,정보 없음,,,용량정보 없음,PoD로 사용 불가 또는 정보 부족,,,,베타메타손발러레이트,Betamethasone Valerate,TTC_fallback,0.0023 / 0.0396739 = 0.05797
Betamethasone-17-valerate,2152-44-5,한국,금지,,,,,,0.0012695561149529,0.3545850208137121,13.0,9.112382728384976,4.760873353494544,0.0396739446124545,0.0023,TTC_Cramer III,0.0579725566103144,-1.2367775466661646,Risk,위험,외부 PoD 미확인 → TTC 임시 적용,예비,SCCS TTC/Cramer fallback,https://health.ec.europa.eu/system/files/2023-12/sccs_o_273_final.pdf,외부 PoD 미확인. 구조정보 부재 또는 방향족/페놀/복합구조 → 보수적 Cramer III. TTC를 예비 기준치로 사용.,규제/금지 또는 의약품성·CMR 가능성 우선 검토,해당 없음 또는 추가 확인,필요: 구조 기반 Cramer/alert 검증용,높음: Risk + TTC 임시/보정 기준,PoD 미확인 시 TTC 기반 예비값,,정보 없음,,,용량정보 없음,PoD로 사용 불가 또는 정보 부족,,,,베타메타손발러레이트,Betamethasone Valerate,TTC_fallback,0.0023 / 0.0396739 = 0.05797
Betamethasone-17-valerate,2152-44-5,브라질,금지,,,,,,0.0012695561149529,0.3545850208137121,13.0,9.112382728384976,4.760873353494544,0.0396739446124545,0.0023,TTC_Cramer III,0.0579725566103144,-1.2367775466661646,Risk,위험,외부 PoD 미확인 → TTC 임시 적용,예비,SCCS TTC/Cramer fallback,https://health.ec.europa.eu/system/files/2023-12/sccs_o_273_final.pdf,외부 PoD 미확인. 구조정보 부재 또는 방향족/페놀/복합구조 → 보수적 Cramer III. TTC를 예비 기준치로 사용.,규제/금지 또는 의약품성·CMR 가능성 우선 검토,해당 없음 또는 추가 확인,필요: 구조 기반 Cramer/alert 검증용,높음: Risk + TTC 임시/보정 기준,PoD 미확인 시 TTC 기반 예비값,,정보 없음,,,용량정보 없음,PoD로 사용 불가 또는 정보 부족,,,,베타메타손발러레이트,Betamethasone Valerate,TTC_fallback,0.0023 / 0.0396739 = 0.05797
Betamethasone-17-valerate,2152-44-5,아르헨티나,금지,,,,,,0.0012695561149529,0.3545850208137121,13.0,9.112382728384976,4.760873353494544,0.0396739446124545,0.0023,TTC_Cramer III,0.0579725566103144,-1.2367775466661646,Risk,위험,외부 PoD 미확인 → TTC 임시 적용,예비,SCCS TTC/Cramer fallback,https://health.ec.europa.eu/system/files/2023-12/sccs_o_273_final.pdf,외부 PoD 미확인. 구조정보 부재 또는 방향족/페놀/복합구조 → 보수적 Cramer III. TTC를 예비 기준치로 사용.,규제/금지 또는 의약품성·CMR 가능성 우선 검토,해당 없음 또는 추가 확인,필요: 구조 기반 Cramer/alert 검증용,높음: Risk + TTC 임시/보정 기준,PoD 미확인 시 TTC 기반 예비값,,정보 없음,,,용량정보 없음,PoD로 사용 불가 또는 정보 부족,,,,베타메타손발러레이트,Betamethasone Valerate,TTC_fallback,0.0023 / 0.0396739 = 0.05797
